Course Name,Study area,Study type,Location,Entry Score,Prerequisites,Student type,Learning mode,Duration,Fees,Next intake,Course Page
Master of Architecture,Architecture,PG,Melbourne City,,,International,On campus,Full-time 2 years,48000,"Februray, July",https://www.rmit.edu.au/study-with-us/levels-of-study/postgraduate-study/masters-by-coursework/master-of-architecture-mc163
Master of Interior Design,Architecture,PG,Melbourne City,,,International,On campus,Full-time 2 years,46080,"Februray, July",https://www.rmit.edu.au/study-with-us/levels-of-study/postgraduate-study/masters-by-coursework/master-of-interior-design-mc275
Master of Landscape Architecture,Architecture,PG,Melbourne City,,,International,On campus,Full-time 2 years,46080,"Februray, July",https://www.rmit.edu.au/study-with-us/levels-of-study/postgraduate-study/masters-by-coursework/master-of-landscape-architecture-mc172
Master of Urban Design,Architecture,PG,Melbourne City,,,International,On campus,Full-time 2 years,48960,"Februray, July",https://www.rmit.edu.au/study-with-us/levels-of-study/postgraduate-study/masters-by-coursework/master-of-urban-design-mc193
Master of Design (Aechitecture & Design),Architecture,Research,Melbourne City,,,International,On campus,Full-time 2 years,39360,Continuous,https://www.rmit.edu.au/study-with-us/levels-of-study/research-programs/masters-by-research/master-of-design-architecture--design-mr207
PhD (Architecture&Design),Architecture,Research,Melbourne City,,,International,On campus,Full-time 3-4 years,39360,Continuous,https://www.rmit.edu.au/study-with-us/levels-of-study/research-programs/phd/phd-architecture--design-dr207
PhD (Built Environment),Architecture,Research,Melbourne City,,,International,On campus,Full-time 3-4 years,34560,Continuous,https://www.rmit.edu.au/study-with-us/levels-of-study/research-programs/phd/phd-built-environment-dr212
Graduate Certificate in Creatitve and Cultural Production,Art,PG,Melbourne City,,,International,On campus,Full-time 6 months,19200,"February, July",https://www.rmit.edu.au/study-with-us/levels-of-study/postgraduate-study/graduate-certificates/graduate-certificate-in-creative-and-cultural-production-gc213
Master of Arts (Art in Public Space),Art,PG,Melbourne City,,,International,On campus,Full-time 2 years,38400,Not applicable,https://www.rmit.edu.au/study-with-us/levels-of-study/postgraduate-study/masters-by-coursework/master-of-arts-art-in-public-space-mc281
Master of Arts (Arts Management),Art,PG,Melbourne City,,,International,On campus,Full-time 2 years,38400,"February, July",https://www.rmit.edu.au/study-with-us/levels-of-study/postgraduate-study/masters-by-coursework/master-of-arts-arts-management-mc280
Master of Fine Art,Art,PG,Melbourne City,,,International,On campus,Full-time 2 years,38400,"February, July",https://www.rmit.edu.au/study-with-us/levels-of-study/postgraduate-study/masters-by-coursework/master-of-fine-art-mc266
Master of Phptpgraphy,Art,PG,Melbourne City,,,International,On campus,Full-time 2 years,38400,"February, July",https://www.rmit.edu.au/study-with-us/levels-of-study/postgraduate-study/masters-by-coursework/master-of-photography-mc270
Master of Fine Art,Art,Research,Melbourne City,,None,International,On campus,Full-time 3-4 years,38560,Continuous,https://www.rmit.edu.au/study-with-us/levels-of-study/research-programs/masters-by-research/master-of-fine-art-mr208
PhD (Art),Art,Research,Melbourne City,,None,International,On campus,Full-time 3-4 years,34560,Continuous,https://www.rmit.edu.au/study-with-us/levels-of-study/research-programs/phd/phd-art-dr208
Master of Science (Aviation),Aviation,PG,Melbourne City,,None,International,On campus,Full-time 2 years,44160,"February, July",https://www.rmit.edu.au/study-with-us/levels-of-study/postgraduate-study/masters-by-coursework/master-of-science-aviation-mc264
PhD (Aerospace Engineering and Aviation),Aviation,Research,"Melbourne City, Bundoora",,None,International,On campus,Full-time 3-4 years,39360,Continuous,https://www.rmit.edu.au/study-with-us/levels-of-study/research-programs/phd/phd-aerospace-engineering-and-aviation-dr215
Master of Laboratory Medicine,Biomedical sciences,PG,Bundoora,,None,International,On campus,Full-time 2 years,44160,"February, July",https://www.rmit.edu.au/study-with-us/levels-of-study/postgraduate-study/masters-by-coursework/master-of-laboratory-medicine-mc158
Graduate Certificate in Energy Efficient and Sustainable Building,Building,PG,Melbourne City,,,International,On campus,Full-time 6 months,22080,February,https://www.rmit.edu.au/study-with-us/levels-of-study/postgraduate-study/graduate-certificates/graduate-certificate-in-energy-efficient-and-sustainable-building-gc163
Graduate Certificate in Occupational Health and Safety,Building,PG,Melbourne City,,,International,On campus,Full-time 6 months,21120,Not applicable,https://www.rmit.edu.au/study-with-us/levels-of-study/postgraduate-study/graduate-certificates/graduate-certificate-in-occupational-health-and-safety-gc035
Graduate Certificate in Project Management,Building,PG,Melbourne City,,,International,On campus,Full-time 6 months,23040,"February, July",https://www.rmit.edu.au/study-with-us/levels-of-study/postgraduate-study/graduate-certificates/graduate-certificate-in-project-management-gc042
Graduate Diploma in Energy Efficient and Sustainable Building,Building,PG,Melbourne City,,,International,On campus,Full-time 1 year,44160,"February, July",https://www.rmit.edu.au/study-with-us/levels-of-study/postgraduate-study/graduate-diplomas/graduate-diploma-in-energy-efficient-and-sustainable-building-gd189
Graduate Diploma in Occupational Health and Safety,Building,PG,Melbourne City,,,International,On campus,Full-time 1 year,42240,"February, July",Graduate Diploma in Occupational Health and Safety - RMIT University
Graduate Diploma in Project Management,Building,PG,Melbourne City,,,International,On campus,Full-time 1 year,46080,"February, July",Graduate Diploma in Project Management - RMIT University
Master of Energy Efficient and Sustainable Building,Building,PG,Melbourne City,,,International,On campus,Full-time 2 year,44160,"February, July",Master of Energy Efficient and Sustainable Building - RMIT University
Master of Geospatial Science,Building,PG,Melbourne City,,,International,On campus,Full-time 2 year,39360,"February, July",https://www.rmit.edu.au/study-with-us/levels-of-study/postgraduate-study/masters-by-coursework/master-of-geospatial-science-mc265
Master of Landscape Architecture,Building,PG,Melbourne City,,,International,On campus,Full-time 2 year,46080,"February, July",https://www.rmit.edu.au/study-with-us/levels-of-study/postgraduate-study/masters-by-coursework/master-of-landscape-architecture-mc172
Master of Occupational Health and Safety,Building,PG,Melbourne City,,,International,On campus,Full-time 2 year,42240,"February, July",Master of Occupational Health and Safety - RMIT University
Master of Project Management,Building,PG,Melbourne City,,,International,On campus,Full-time 2 year,46080,"February, July",Master of Project Management - RMIT University
Master of Property,Building,PG,Melbourne City,,,International,On campus,Full-time 2 year,44160,"February, July",https://www.rmit.edu.au/study-with-us/levels-of-study/postgraduate-study/masters-by-coursework/master-of-property-mc212
