Program name,Credit Points,Program Code,Course name,Plan code,Duration,Campus,CRICOS Code
Architecture Design Studio 7,24,ARCH1330,Master of Architecture,MC163,2 years full-time,City Campus,060829B
Architecture Professional Practice 1,12,ARCH1331,Master of Architecture,MC163,2 years full-time,City Campus,060829B
History Asian Architecture and Urbanism,12,ARCH1332,Master of Architecture,MC163,2 years full-time,City Campus,060829B
Architecture Design Studio 8,24,ARCH1333,Master of Architecture,MC163,2 years full-time,City Campus,060829B
Architecture Professional Practice 2,12,ARCH1334,Master of Architecture,MC163,2 years full-time,City Campus,060829B
Architecture Design Elective 1,12,ARCH1338,Master of Architecture,MC163,2 years full-time,City Campus,060829B
Architecture Design Studio 9,24,ARCH1335,Master of Architecture,MC163,2 years full-time,City Campus,060829B
Architecture Professional Practice 3,12,ARCH1336,Master of Architecture,MC163,2 years full-time,City Campus,060829B
Architecture Design Elective 2,12,ARCH1339,Master of Architecture,MC163,2 years full-time,City Campus,060829B
Architecture Major Project,36,ARCH1337,Master of Architecture,MC163,2 years full-time,City Campus,060829B
Architecture Design Elective 3,12,ARCH1340,Master of Architecture,MC163,2 years full-time,City Campus,060829B
Partnered Interior Design Studio 1,24,ARCH1502,Master of Interior Design,MC275,2 years full-time,City Campus,0100719
Partnered Interior Design Studio 2,24,ARCH1496,Master of Interior Design,MC275,2 years full-time,City Campus,0100719
Interior Design Practices 1,12,ARCH1498,Master of Interior Design,MC275,2 years full-time,City Campus,0100719
Interior Design Practices 2,12,ARCH1503,Master of Interior Design,MC275,2 years full-time,City Campus,0100719
Interior Design Research Strategies,12,ARCH1499,Master of Interior Design,MC275,2 years full-time,City Campus,0100719
Partnered Interior Design Studio 3,24,ARCH1497,Master of Interior Design,MC275,2 years full-time,City Campus,0100719
Partnered Interior Design Studio 4,24,ARCH1500,Master of Interior Design,MC275,2 years full-time,City Campus,0100719
Interior Design Practices 3,12,ARCH1501,Master of Interior Design,MC275,2 years full-time,City Campus,0100719
Portfolio,12,ARCH1495,Master of Interior Design,MC275,2 years full-time,City Campus,0100719
Arts Management Fundamentals,12,OART1066,Master of Interior Design,MC275,2 years full-time,City Campus,0100719
Design Studies (Communication Design),12,GRAP2081,Master of Interior Design,MC275,2 years full-time,City Campus,0100719
Design and Digital Media Professional Practice,12,GRAP2764,Master of Interior Design,MC275,2 years full-time,City Campus,0100719
Make Things Interactive: How to create physically interactive objects and environments,12,GRAP2757,Master of Interior Design,MC275,2 years full-time,City Campus,0100719
Service Design,12,GRAP2494,Master of Interior Design,MC275,2 years full-time,City Campus,0100719
Accounting for Management Decisions,12,ACCT2127,Master of Interior Design,MC275,2 years full-time,City Campus,0100719
Leadership and Management,12,BUSM1530,Master of Interior Design,MC275,2 years full-time,City Campus,0100719
Managing Project Teams,12,BUSM1271,Master of Interior Design,MC275,2 years full-time,City Campus,0100719
Business Skills for the Creative Industries,12,BUSM3323,Master of Interior Design,MC275,2 years full-time,City Campus,0100719
Communication Management: Theory and Practice,12,COMM1123,Master of Interior Design,MC275,2 years full-time,City Campus,0100719
Change Communication,12,COMM2316,Master of Interior Design,MC275,2 years full-time,City Campus,0100719
Management 1 - Managing People,12,BUSM1162,Master of Interior Design,MC275,2 years full-time,City Campus,0100719
Managing Across Cultures,12,BUSM3127,Master of Interior Design,MC275,2 years full-time,City Campus,0100719
Consumer Behaviour,12,MKTG1101,Master of Interior Design,MC275,2 years full-time,City Campus,0100719
Customer Experience Design,12,MKTG1373,Master of Interior Design,MC275,2 years full-time,City Campus,0100719
Entrepreneurship and New Venture Creation,12,BUSM1546,Master of Interior Design,MC275,2 years full-time,City Campus,0100719
People and Data,12,COMM2793,Master of Interior Design,MC275,2 years full-time,City Campus,0100719
Corporate Writing and Editing,12,COMM2667,Master of Interior Design,MC275,2 years full-time,City Campus,0100719
Communication Management: Theory and Practice,12,COMM1123,Master of Interior Design,MC275,2 years full-time,City Campus,0100719
Change Communication,12,COMM2316,Master of Interior Design,MC275,2 years full-time,City Campus,0100719
Communication for Social Change,12,COMM2083,Master of Interior Design,MC275,2 years full-time,City Campus,0100719
Sustainability in the built environment: A focus on building and design,12,BUIL1225,Master of Interior Design,MC275,2 years full-time,City Campus,0100719
Sustainable Building Technologies,12,BUSM4467,Master of Interior Design,MC275,2 years full-time,City Campus,0100719
Intercultural Knowledges and Practices,12,HUSO2378,Master of Interior Design,MC275,2 years full-time,City Campus,0100719
Advanced Advocacy and Social Action,12,HUSO2069,Master of Interior Design,MC275,2 years full-time,City Campus,0100719
Climate Change Responses,12,ENVI1222,Master of Interior Design,MC275,2 years full-time,City Campus,0100719
Communication for Social Change,12,COMM2083,Master of Interior Design,MC275,2 years full-time,City Campus,0100719
Managing Sustainable Building Projects,12,BUSM4464,Master of Interior Design,MC275,2 years full-time,City Campus,0100719
Environmental and Culture: Ecological and Aboriginal Understanding of Country (PGR),12,AERS1004,Master of Interior Design,MC275,2 years full-time,City Campus,0100719
Humanitarian Design Thinking,12,ARCH1453,Master of Interior Design,MC275,2 years full-time,City Campus,0100719
"Sustainability, Governance and Social Change",12,ENVI1169,Master of Interior Design,MC275,2 years full-time,City Campus,0100719
Urbanisation Issues in the Asia-Pacific Region,12,ARCH1265,Master of Interior Design,MC275,2 years full-time,City Campus,0100719
Designing with Data,12,ARCH1462,Master of Interior Design,MC275,2 years full-time,City Campus,0100719
Soundscape Studies,12,ARCH1318,Master of Interior Design,MC275,2 years full-time,City Campus,0100719
Digital Making for Innovation,12,GRAP2756,Master of Interior Design,MC275,2 years full-time,City Campus,0100719
Digital Curation,12,ISYS1168,Master of Interior Design,MC275,2 years full-time,City Campus,0100719
Electronic Publishing,12,COMM1218,Master of Interior Design,MC275,2 years full-time,City Campus,0100719
Energy Moisture and Airflow in Buildings,12,BUSM4463,Master of Interior Design,MC275,2 years full-time,City Campus,0100719
Urban Regions: Strategic Considerations for Development,12,ARCH1273,Master of Interior Design,MC275,2 years full-time,City Campus,0100719
Landscape Architecture Design Research Studio 7,24,ARCH1358,Master of Landscape Architecture,MC172,2 years full-time,City Campus,064392E
Landscape Architecture Design Research Seminar 1,12,ARCH1359,Master of Landscape Architecture,MC172,2 years full-time,City Campus,064392E
Landscape Architecture Design Research Seminar 2,12,ARCH1360,Master of Landscape Architecture,MC172,2 years full-time,City Campus,064392E
Landscape Architecture Design Research Studio 8,24,ARCH1361,Master of Landscape Architecture,MC172,2 years full-time,City Campus,064392E
Landscape Architecture Professional Practice,12,ARCH1374,Master of Landscape Architecture,MC172,2 years full-time,City Campus,064392E
Landscape Architecture Postgraduate Elective,12,ARCH1363,Master of Landscape Architecture,MC172,2 years full-time,City Campus,064392E
Landscape Architecture Postgraduate Special Initiative,12,ARCH1364,Master of Landscape Architecture,MC172,2 years full-time,City Campus,064392E
Landscape Architecture Masters Design Research Project A,36,ARCH1365,Master of Landscape Architecture,MC172,2 years full-time,City Campus,064392E
Landscape Architecture Design Research Seminar 3,12,ARCH1362,Master of Landscape Architecture,MC172,2 years full-time,City Campus,064392E
Landscape Architecture Masters Design Research Project B,36,ARCH1485,Master of Landscape Architecture,MC172,2 years full-time,City Campus,064392E
Landscape Architecture Design Research Seminar 4,12,ARCH1366,Master of Landscape Architecture,MC172,2 years full-time,City Campus,064392E
Urban Design Studio 1,24,ARCH1392,Master of Urban Design,MC193,2 years full-time,City Campus,078873F
Asian Urbanism,12,ARCH1460,Master of Urban Design,MC193,2 years full-time,City Campus,078873F
Urban Design Studio 2,24,ARCH1394,Master of Urban Design,MC193,2 years full-time,City Campus,078873F
Urban Design Professional Practice,12,ARCH1439,Master of Urban Design,MC193,2 years full-time,City Campus,078873F
Urbanisation Issues in the Asia-Pacific Region,12,ARCH1265,Master of Urban Design,MC193,2 years full-time,City Campus,078873F
Heritage and Environmental Design,12,ARCH1264,Master of Urban Design,MC193,2 years full-time,City Campus,078873F
Infrastructure and Property,12,ARCH1297,Master of Urban Design,MC193,2 years full-time,City Campus,078873F
Spatial Thinking and Urban Design,12,ARCH1274,Master of Urban Design,MC193,2 years full-time,City Campus,078873F
Planning Theory,12,ARCH1272,Master of Urban Design,MC193,2 years full-time,City Campus,078873F
Green Cities,12,ARCH1287,Master of Urban Design,MC193,2 years full-time,City Campus,078873F
Sustainability in the built environment: A focus on building and design,12,BUIL1225,Master of Urban Design,MC193,2 years full-time,City Campus,078873F
Real Estate Law,12,JUST1137,Master of Urban Design,MC193,2 years full-time,City Campus,078873F
