Course Code,Course Title,Type of Textbook,ISBN,Title Linked to Library holdings,Author,Edition,Publisher
ACCT1014,"Accounting, Behaviour and Organisations",Recommended,9780730369387 9780730369424(e),Management Accounting,Eldenburg Et al,4th,John Wiley & Sons
ACCT1046,Accounting in Organisations and Society,Recommended,9780170460194 9780170293013(e),An Introduction to Accounting: Accountability in Organisations and Society,Craig Deegan,2nd,Cengage Learning
ACCT1048,Financial Accountability and R,Highly recommended,9781743767382 9781743767399(e),Financial Accounting,Deegan,9th,McGraw-Hill Education
ACCT1054,Financial Accountability and Reporting,Highly recommended,9781743767382 9781743767399(e),Financial Accounting,Deegan,9th,McGraw-Hill Education
ACCT1056,Auditing 1,Highly recommended,9780730382645 9780730382638(e),Auditing: A Practical Approach,"Robyn Moroney, Fiona Campbell, Jane Hamilton",4th,John Wiley & Sons
ACCT1059,Auditing,Highly recommended,9780730382645 9780730382638(e),Auditing: A Practical Approach,"Robyn Moroney, Fiona Campbell, Jane Hamilton",4th,John Wiley & Sons
ACCT1060,Mgt Accounting and Business,Highly recommended,9781292400648 9781292400549(e),Principles of Managerial Finance,Chad J. Zutter and Scott B. Smart,16th Global,Pearson Education
ACCT1063,Mgt Accounting and Business,Highly recommended,9781292400648 9781292400549(e),Principles of Managerial Finance,Chad J. Zutter and Scott B. Smart,16th Global,Pearson Education
ACCT1064,Cost analysis and organisational decisions,Highly recommended,9781488612640 9781488612664(e),Horngren's Cost Accounting: A Managerial Emphasis,"Horngren C.T., Datar S.M., Rajan M., Maguire W., and R. Tan",3rd,Pearson Education
ACCT1064,Cost analysis and organisational decisions,Recommended,9781488612664,Cost Accounting: A Managerial Emphasis,"Horngren C.T., Datar S.M., Rajan M., Maguire W., and R. Tan",3rd,Pearson Education
ACCT1068,Cost Analysis and Organisational Decisions,Highly recommended,9781488612640 9781488612664(e),Horngren's Cost Accounting: A Managerial Emphasis,"Horngren, Datar, Rajan, Maguire, Tan",3rd,Pearson Education
ACCT1068,Cost Analysis and Organisational Decisions,Recommended,9781488612640 9781488612664(e),Horngren's Cost Accounting: A Managerial Emphasis,"Horngren, Datar, Rajan, Maguire, Tan",3rd,Pearson Education
ACCT1077,Financial Accounting Theory,Recommended,9780170460491 9780170294751(e),Financial Accounting Theory,Deegan,5th,Cengage Learning
ACCT1080,Financial Accounting Theory,Recommended,9780170460491 9780170294751(e),Financial Accounting Theory,Deegan,5th,Cengage Learning
ACCT1106,"Accounting, Accountability and Society",Highly recommended,9780170460194 9780170293013(e),An Introduction to Accounting: Accountability in Organisations and Society,Craig Deegan,2nd,Cengage Learning
ACCT1106,"Accounting, Accountability and Society",Highly recommended,9780170418737 9780170284592(e),An Introduction to Accounting: Accountability in Organisations and Society,Craig Deegan,1st,Cengage Learning
ACCT1110,Contemporary Financial and Integrated Reporting,Highly recommended,9781743767382 9781743767399(e),Financial Accounting,Craig Deegan,9th,McGraw-Hill Education
ACCT1111,Assurance and Forensic Accounting,Recommended,9781394173440 9781394173464(e),Audit and Assurance,Leung ET AL,2nd,John Wiley & Sons
ACCT1111,Assurance and Forensic Accounting,Recommended,9781337619677 9781337670982(e),Fraud examination,Albrecht et al,6th,Cengage Learning
ACCT2033,Financial Accounting and Analysis,Highly recommended,9780730391906 9780730391920(e),"Accounting: Reporting, Analysis and Decision Making",Carlon,7th,John Wiley & Sons
ACCT2033,Financial Accounting and Analysis,Highly recommended,9780730313748 9780730344087(e),"Financial accounting : reporting, analysis and decision making",Carlon,5th,John Wiley & Sons
ACCT2033,Financial Accounting and Analysis,Highly recommended,9780730363279 9780730356158(e),"Financial accounting : reporting, analysis and decision making",Carlon,6th,John Wiley & Sons
ACCT2060,Accounting in Organisations and Society,Highly recommended,9780170460194 9780170293013(e),An Introduction to Accounting: Accountability in Organisations and Society,Craig Deegan,2nd,Cengage Learning
